Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES TREATED MALE ,TOTAL CASES TREATED FEMALE,TOTAL CASES TREATED ,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Bukedi,Busia District,50,23,73,36556,21989,58545,57971,26175,84146,22703,18017,40720,33289,29059,62348,48,19,67,35621,21470,57091,55306,25389,80695,32327,28281,60608,22234,17729,39963,238424,47,171,218,35420,21362,56782,54432,25179,79611,32073,28139,60212,22109,17630,39739,1095,1842,2937,92481,144081,236562,150569,95263,245832,33339,29082,62421,729,374454.5013,513.6550087,0.4045,34.0196,2020,636.7235517,513.6550086
Busoga,Busoga,977,745,1722,254412,141662,396074,452143,216906,669049,173652,130196,303848,269730,234513,504243,773,542,1315,247149,136447,383596,434462,206530,640992,262041,228756,490797,168018,125590,293608,1810308,729,491,1220,242669,134198,376867,426170,202823,628993,258502,224078,482580,165100,123601,288701,19227,39291,58518,685191,1093170,1778361,1150914,724022,1874936,270707,235258,505965,9443,4032709.81,427.0581182,0,0,2020,448.9060918,427.0581182
Bukedi,Butaleja District,9,5,14,5516,3419,8935,8739,3742,12481,4155,3254,7409,6033,5279,11312,9,5,14,4864,3055,7919,7496,3302,10798,5287,4511,9798,3798,2960,6758,35287,9,5,14,4915,3101,8016,7478,3269,10747,5319,4584,9903,3853,2990,6843,192,403,595,13949,21574,35523,24452,15699,40151,6042,5284,11326,655,283270.0852,432.4734125,0,0,2020,124.5701606,432.4734125
South Central,Butambala District,2,1,3,7147,6926,14073,7498,5323,12821,4101,3985,8086,3586,3463,7049,2,1,3,6777,6412,13189,6554,7479,14033,3137,3180,6317,3929,3830,7759,41301,2,1,3,6504,6230,12734,6392,4736,11128,3078,3136,6214,3828,3717,7545,92,501,593,17820,19804,37624,22334,19698,42032,3588,3464,7052,405,50232.4276,124.0306854,0.1742,32.1065,2020,822.19797,124.0306854
Bukedi,Butebo District,26,30,56,5614,2509,8123,7243,2464,9707,4115,3110,7225,4952,4433,9385,26,30,56,5562,2485,8047,7107,2435,9542,4920,4414,9334,4106,3106,7212,34191,26,28,54,5287,2400,7687,6966,2417,9383,4440,4045,8485,3828,2950,6778,134,276,410,11840,20547,32387,21950,12546,34496,4978,4463,9441,236,144468.885,612.1562926,1.2393,33.83,2020,236.6668781,612.1562924
North Central,Buvuma District,4,2,6,2909,1886,4795,5199,3140,8339,2301,1883,4184,3677,3419,7096,4,2,6,2888,1869,4757,5171,3123,8294,3633,3387,7020,2273,1875,4148,24225,4,2,6,2886,1875,4761,5267,3042,8309,3617,3364,6981,2277,1863,4140,202,470,672,10146,14051,24197,14090,10330,24420,3681,3421,7102,296,40577.34751,137.0856335,0.3765,33.2588,2020,597.0079733,137.0856335
Busoga,Buyende District,26,19,45,12975,6744,19719,20674,9355,30029,10324,7905,18229,21046,19368,40414,26,19,45,12973,6741,19714,20671,9330,30001,21036,19368,40404,10318,7892,18210,108374,26,19,45,12965,6738,19703,20662,9323,29985,21019,19342,40361,10309,7876,18185,1629,3322,4951,43298,64981,108279,65045,43391,108436,21072,19387,40459,1379,369159.5617,267.700915,1.2414,33.1239,2020,293.5695326,267.7009149
Lango,Dokolo District,14,6,20,18242,8333,26575,21276,6767,28043,9642,7277,16919,11511,10762,22273,11,4,15,17682,8211,25893,20644,6587,27231,11169,10489,21658,9432,7140,16572,91369,11,3,14,17349,8030,25379,20268,6548,26816,10880,10246,21126,9235,6972,16207,1354,2219,3573,31799,57743,89542,60685,33145,93830,11525,10768,22293,1004,201970.6038,201.16594,1.9131,33.1717,2020,452.3876162,201.16594
Tooro,Fort Portal City,8,9,17,904,735,1639,2358,2066,4424,554,481,1035,664,558,1222,8,9,17,812,659,1471,2076,1814,3890,587,479,1066,513,424,937,7381,8,9,17,806,650,1456,2143,1862,4005,587,495,1082,519,422,941,41,219,260,3438,4063,7501,4488,3849,8337,672,567,1239,127,48632.07484,382.9297232,0.6546,30.2801,2020,151.7722619,382.9297231
South Central,Gomba District,0,1,1,5817,5033,10850,7317,5187,12504,3583,3194,6777,2782,2614,5396,0,1,1,5437,4691,10128,6793,4800,11593,2513,2364,4877,3303,2983,6286,32885,0,1,1,5377,4696,10073,6685,4676,11361,2535,2366,4901,3275,2957,6232,93,471,564,14696,17872,32568,19499,16029,35528,2782,2615,5397,1670,45817.58721,27.43568096,0.223,31.6739,2020,717.7374891,27.43568096
