Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES TREATED MALE ,TOTAL CASES TREATED FEMALE,TOTAL CASES TREATED ,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
North Central,Buikwe District,31,18,49,14792,14914,29706,23646,15008,38654,8675,7441,16116,10265,8825,19090,17,13,31,13784,10912,24696,20954,14172,35126,9374,8176,17550,8177,6978,15155,92558,18,13,31,13570,10691,24261,20508,13881,34389,9228,7995,17223,8025,6928,14953,926,2320,3246,39508,51349,90857,57409,46206,103615,10296,8843,19139,1270,520158,409.5732283,0.2827,0,2024,177.9420868,409.5732283
Teso,Bukedea District,31,23,54,29123,15675,44798,33362,13329,46691,13728,10375,24103,14646,12684,27330,27,22,49,27817,15112,42929,32083,12903,44986,14313,12347,26660,13398,9831,23229,137853,27,22,49,27545,14828,42373,38674,12763,51437,13863,11850,25713,13160,9685,22845,2306,5476,7782,49148,93269,142417,90890,52086,142976,14677,12707,27384,1032,282864,274.0930233,1.3557,34.1087,2024,487.3472764,274.0930233
Bukedi,Bukedi,201,180,381,125953,69783,195736,160535,53091,213626,69418,55887,125305,108181,97792,205973,179,169,357,123939,68783,192722,157112,51455,208567,106524,96373,202897,68250,54919,123169,727712,177,180,357,122718,68103,190821,155106,50642,205748,105452,98307,203759,67728,54421,122149,9786,20958,30744,271653,451181,722834,464288,276733,741021,108382,97972,206354,4504,2372489,526.7515542,0,0,2024,306.7293463,526.7515542
South Central,Bukomansimbi District,3,9,12,3629,3110,6739,4753,2612,7365,2142,2023,4165,2136,2244,4380,3,9,12,3617,3101,6718,4738,2570,7308,2119,2222,4341,2139,2047,4186,22565,3,9,12,3589,3085,6674,4647,2534,7181,2105,2207,4312,2121,2025,4146,165,544,709,9860,12465,22325,12663,9998,22661,2139,2253,4392,600,197568,329.28,0.1433,31.6055,2024,114.2138403,329.28
Bugisu,Bukwo District,1,1,2,1482,1353,2835,2662,2223,4885,720,642,1362,650,552,1202,1,1,2,1267,1215,2482,2182,2038,4220,517,451,968,617,580,1197,8869,1,1,2,1240,1189,2429,2128,1987,4115,501,445,946,609,562,1171,15,54,69,4184,4479,8663,5515,4771,10286,651,553,1204,525,114396,217.8971429,1.2819,34.7299,2024,77.52893458,217.8971429
Bugisu,Bulambuli District,47,15,62,8126,5174,13300,12650,5732,18382,3499,2814,6313,4478,3914,8392,44,14,50,6762,4416,11178,10205,4877,15082,3786,3344,7130,2968,2387,5355,38795,41,9,50,7535,4902,12437,11091,5224,16315,4111,3631,7742,3297,2628,5925,424,937,1361,16394,26075,42469,28800,17649,46449,4525,3929,8454,695,235391,338.6920863,1.4815,34.2866,2024,164.8108891,338.6920863
Bunyoro,Buliisa District,13,3,16,10031,6203,16234,11373,6245,17618,4821,3765,8586,6896,6122,13018,11,3,15,9364,5852,15216,10617,5769,16386,6459,5783,12242,4591,3579,8170,52029,12,3,15,9873,6085,15958,11991,6104,18095,6807,6016,12823,4762,3708,8470,787,1762,2549,21916,33445,55361,33134,22338,55472,6909,6125,13034,1367,167894,122.8193124,1.8992,31.3542,2024,309.8919556,122.8193124
Tooro,Bundibugyo District,10,7,17,9249,5054,14303,17772,12235,30007,3726,2853,6579,4487,3924,8411,10,7,16,9269,5069,14338,17667,10130,27797,4470,3922,8392,3627,2851,6478,57021,9,7,16,9257,5061,14318,17637,10119,27756,4485,3924,8409,3631,2854,6485,352,652,1004,21965,35019,56984,35244,24073,59317,4497,3931,8428,850,264778,311.5035294,0.6852,0,2024,215.3539947,311.5035294
Tooro,Bunyangabu District,4,4,8,1844,1575,3419,3861,3896,7757,1118,889,2007,1182,1101,2283,4,3,7,1508,1280,2788,3248,3457,6705,926,859,1785,941,716,1657,12942,4,3,7,1510,1283,2793,3223,3446,6669,925,857,1782,929,712,1641,134,307,441,6301,6591,12892,8009,7465,15474,1186,1105,2291,466,219012,469.9828326,0.4871,30.2051,2024,59.09265246,469.9828326
Bunyoro,Bunyoro,298,210,508,91642,61834,153476,110626,56537,167163,44847,36700,81547,58572,54788,113360,316,182,458,92723,60075,152798,105800,53631,159431,56448,52784,109232,43056,35673,78729,500648,263,195,458,88665,59896,148561,107173,53679,160852,56426,52742,109168,43215,35437,78652,7169,16609,23778,201949,295742,497691,305985,210069,516054,58870,54998,113868,16580,2792732,168.439807,0,0,2024,179.2681861,168.439807
Ankole,Bushenyi District,6,0,6,1207,1181,2388,2864,2519,5383,415,423,838,481,464,945,1,0,1,1153,1112,2265,2603,2030,4633,448,423,871,395,403,798,8568,1,0,1,1142,1089,2231,2560,2005,4565,443,422,865,393,393,786,26,89,115,3909,4539,8448,4973,4587,9560,487,464,951,845,283392,335.3751479,0.4875,30.1127,2024,30.23373984,335.3751479
Bukedi,Busia District,81,78,159,18417,12019,30436,31233,12824,44057,10019,8344,18363,13930,12746,26676,62,72,145,17473,11457,28930,29642,12217,41859,13044,12006,25050,9465,7873,17338,113322,62,83,145,17250,11293,28543,29332,11927,41259,12868,12241,25109,9440,7796,17236,1236,2458,3694,43340,68952,112292,73680,46011,119691,14011,12824,26835,729,412671,566.0781893,0.4045,34.0196,2024,274.6061633,566.0781893
Busoga,Busoga,474,344,818,248135,143644,391779,416016,181451,597467,144784,112979,257763,195398,172849,368247,438,324,721,244967,141970,386937,405852,176920,582772,193121,170809,363930,143149,111471,254620,1588980,425,296,721,241828,139399,381227,398436,174397,572833,191462,168934,360396,142116,110056,252172,25837,59856,85693,593082,974267,1567349,1004807,611267,1616074,195872,173193,369065,9443,4363295,462.0666102,0,0,2024,364.1697387,462.0666102
Bukedi,Butaleja District,30,11,41,11239,7040,18279,16543,6715,23258,6853,5588,12441,8419,7728,16147,29,9,38,10876,6907,17783,15952,6391,22343,8216,7544,15760,6704,5471,12175,68099,29,9,38,10426,6686,17112,15099,6071,21170,7848,7184,15032,6554,5291,11845,767,1499,2266,25241,39956,65197,43084,27082,70166,8449,7739,16188,655,312771,477.5129771,0,0,2024,217.7279863,477.5129771
South Central,Butambala District,0,2,2,3772,3510,7282,4523,2912,7435,1565,1562,3127,1344,1173,2517,0,2,2,3805,3561,7366,4530,2932,7462,1357,1158,2515,1580,1588,3168,20513,0,2,2,3732,3491,7223,4438,2887,7325,1348,1140,2488,1561,1571,3132,105,389,494,9091,11079,20170,11204,9159,20363,1344,1175,2519,405,146516,361.7679012,0.1742,32.1065,2024,140.0051871,361.7679012
Bukedi,Butebo District,32,19,51,10603,5101,15704,11914,3531,15445,5196,3622,8818,6568,5458,12026,30,17,47,10318,5005,15323,11614,3466,15080,6489,5391,11880,5123,3583,8706,51036,30,17,47,10314,4996,15310,11600,3456,15056,6453,5386,11839,5110,3582,8692,477,1032,1509,17437,33507,50944,34313,17731,52044,6600,5477,12077,236,171433,726.4110169,1.2393,33.83,2024,297.7023094,726.4110169
North Central,Buvuma District,5,4,9,3499,2412,5911,6855,3980,10835,2268,1836,4104,3253,2876,6129,5,4,9,3461,2392,5853,6830,3960,10790,3244,2869,6113,2246,1828,4074,26839,5,4,9,3499,2412,5911,6855,3979,10834,3253,2876,6129,2268,1836,4104,230,548,778,11107,15880,26987,15880,11108,26988,3258,2880,6138,296,110832,374.4324324,0.3765,33.2588,2024,242.1593042,374.4324324
Busoga,Buyende District,21,18,39,17497,9113,26610,29478,10377,39855,11097,8054,19151,17732,15785,33517,21,18,38,17497,9113,26610,29454,10377,39831,17730,15775,33505,11097,8051,19148,119132,20,18,38,17300,8954,26254,28920,10251,39171,17592,15599,33191,10986,7957,18943,4982,10330,15312,42779,74818,117597,75825,43347,119172,17753,15803,33556,1379,403486,292.5931835,1.2414,33.1239,2024,295.2568367,292.5931835
Lango,Dokolo District,19,18,37,24408,12860,37268,22867,8060,30927,8832,6138,14970,8961,7877,16838,19,18,37,24408,12860,37268,22857,8060,30917,8961,7877,16838,8832,6138,14970,100030,19,18,37,24106,12661,36767,22460,7919,30379,8835,7746,16581,8727,6062,14789,1367,2567,3934,34406,64147,98553,65087,34953,100040,8980,7895,16875,1004,215625,214.7659363,1.9131,33.1717,2024,463.9072464,214.7659363
Tooro,Fort Portal City,6,4,10,764,642,1406,2318,1737,4055,512,403,915,598,530,1128,1,1,2,720,618,1338,2082,1581,3663,561,479,1040,472,377,849,6892,1,1,2,709,610,1319,2055,1562,3617,553,471,1024,464,369,833,18,108,126,3013,3782,6795,4198,3316,7514,604,534,1138,127,137549,1083.062992,0.6546,30.2801,2024,50.10578049,1083.062992
South Central,Gomba District,15,12,27,5032,3912,8944,7371,5425,12796,2172,1876,4048,1846,1796,3642,15,12,27,4809,3702,8511,7054,5125,12179,1782,1748,3530,2084,1783,3867,28114,15,12,27,4865,3748,8613,7130,5256,12386,1786,1748,3534,2081,1801,3882,194,875,1069,12565,15877,28442,16436,13021,29457,1861,1808,3669,1670,19912,11.92335329,0.223,31.6739,2024,1411.912415,11.92335329
Acholi,Gulu City,32,23,55,11653,7952,19605,18319,9290,27609,5889,5231,11120,7985,7933,15918,32,22,53,11484,7860,19344,18015,9154,27169,7683,7696,15379,5736,5259,10995,72940,31,22,53,10970,7640,18610,17036,8877,25913,7278,7267,14545,5593,5153,10746,336,1369,1705,28959,40908,69867,43878,30429,74307,8017,7956,15973,222,233271,1050.77027,2.7743,32.2882,2024,312.6835312,1050.77027
Acholi,Gulu District,42,41,83,19405,10275,29680,18671,7370,26041,8805,6521,15326,9681,8834,18515,34,37,73,17916,9437,27353,17232,6948,24180,9011,8223,17234,8151,6029,14180,83020,36,37,73,19033,10055,29088,18233,7276,25509,9491,8600,18091,8640,6398,15038,830,1792,2622,32366,55433,87799,56604,33041,89645,9723,8875,18598,1721,135373,78.65950029,2.955,32.4467,2024,613.2685247,78.65950029
Bunyoro,Hoima City,25,19,44,2300,1712,4012,5185,3195,8380,1054,925,1979,1620,1802,3422,25,17,42,2068,1589,3657,4460,2662,7122,1423,1595,3018,946,829,1775,15614,25,17,42,2189,1644,3833,4848,2869,7717,1552,1728,3280,1014,886,1900,68,254,322,7144,9628,16772,10184,7653,17837,1645,1821,3466,227,143304,631.2951542,1.4274,31.3484,2024,108.9571819,631.2951542
Bunyoro,Hoima District,14,11,25,6145,4270,10415,7315,3428,10743,2988,2394,5382,3803,3576,7379,14,11,31,6124,4245,10369,7273,3415,10688,3793,3549,7342,2977,2387,5364,33794,20,11,31,6127,4240,10367,7267,3410,10677,3780,3560,7340,2993,2377,5370,967,2049,3016,13598,20187,33785,20265,13679,33944,3817,3587,7404,1341,257544,192.0536913,1.6343,31.171,2024,131.2164135,192.0536913
Ankole,Ibanda District,14,7,21,13549,10956,24505,23406,14470,37876,5581,4754,10335,4523,3972,8495,12,7,19,13523,10936,24459,23352,14293,37645,4490,3944,8434,5561,4738,10299,80856,12,7,19,13348,10761,24109,23034,14045,37079,4404,3857,8261,5558,4652,10210,353,1188,1541,33322,46356,79678,47073,34159,81232,4537,3979,8516,622,309466,497.5337621,0.0966,30.4818,2024,261.2758752,497.5337621
Busoga,Iganga District,33,16,49,36249,22824,59073,55861,25124,80985,19923,16707,36630,26723,24797,51520,30,16,45,35075,21929,57004,53573,24060,77633,25813,24009,49822,19309,16023,35332,219836,29,16,45,34141,21096,55237,51406,23293,74699,25387,23397,48784,18880,15652,34532,2277,6154,8431,83454,129843,213297,138789,89468,228257,26756,24813,51569,633,426958,674.4992101,0.7236,33.4832,2024,514.8890523,674.4992101
Ankole,Isingiro District,19,12,31,13016,10783,23799,16064,9330,25394,5811,5095,10906,5880,5167,11047,19,12,31,12989,10785,23774,16029,9302,25331,5869,5163,11032,5802,5095,10897,71065,19,12,31,12959,10762,23721,15968,9269,25237,5860,5155,11015,5785,5081,10866,213,693,906,30279,40591,70870,40790,30387,71177,5899,5179,11078,2536,635077,250.4246845,0.8435,30.8039,2024,111.8998169,250.4246845
Busoga,Jinja City,57,47,104,11271,7513,18784,23748,11642,35390,6001,5269,11270,7478,7096,14574,41,37,65,10450,6946,17396,19515,9434,28949,6931,6505,13436,5542,4791,10333,70179,39,26,65,10165,6743,16908,18916,9104,28020,6686,6349,13035,5422,4642,10064,486,1623,2109,26864,41228,68092,48555,31567,80122,7535,7143,14678,179,279184,1559.687151,0.5349,33.2139,2024,251.3718551,1559.687151
Busoga,Jinja District,40,24,64,15929,9456,25385,28175,12896,41071,10322,7806,18128,12703,11088,23791,34,19,53,15425,9197,24622,26154,12205,38359,12412,10873,23285,10094,7675,17769,104088,34,19,53,15168,9011,24179,25764,12015,37779,12237,10822,23059,9910,7513,17423,847,2225,3072,39380,63113,102493,67169,41270,108439,12743,11112,23855,499,280905,562.9358717,0.5349,33.2139,2024,370.5452021,562.9358717
Karamoja,Kaabong District,3,0,3,4358,3429,7787,9575,5013,14588,2475,2094,4569,6031,5776,11807,3,0,3,4331,3416,7747,9456,4989,14445,5980,5728,11708,2453,2081,4534,38437,3,0,3,4290,3404,7694,9361,4947,14308,5926,5699,11625,2431,2066,4497,131,836,967,16116,22011,38127,22442,16312,38754,6034,5776,11810,4751,264631,55.70006314,3.5696,34.242,2024,145.2475334,55.70006314
Kigezi,Kabale District,1,1,2,338,365,703,1170,1547,2717,137,143,280,175,145,320,1,1,2,335,361,696,1145,1516,2661,175,145,320,134,141,275,3954,1,1,2,330,359,689,1131,1489,2620,172,145,317,134,141,275,4,31,35,2135,1768,3903,1821,2201,4022,176,146,322,561,285588,509.0695187,1.3505,30.0203,2024,13.84511954,509.0695187
Tooro,Kabarole District,5,2,7,1374,1106,2480,3136,2112,5248,628,509,1137,723,655,1378,3,1,6,1249,1032,2281,2802,1815,4617,627,595,1222,558,460,1018,9144,4,2,6,1219,992,2211,2712,1755,4467,617,578,1195,534,449,983,58,171,229,3776,5086,8862,5866,4384,10250,728,657,1385,1184,230368,194.5675676,0.6833,0,2024,39.69301292,194.5675676
Teso,Kaberamaido District,38,37,75,19648,11381,31029,19899,7204,27103,7772,5933,13705,7799,7055,14854,37,37,74,19776,11307,31083,19766,7133,26899,7755,7008,14763,7704,5884,13588,86407,37,37,74,20046,11297,31343,19753,7124,26877,7749,7204,14953,7700,5877,13577,750,1440,2190,31539,55285,86824,55156,31610,86766,7837,7092,14929,689,140986,204.6240929,1.6325,0,2024,612.8764558,204.6240929
Bunyoro,Kagadi District,59,46,105,8744,5456,14200,14411,7501,21912,3858,3012,6870,4086,3484,7570,45,39,96,8216,5234,13450,13362,6991,20353,3760,3137,6897,3694,2878,6572,47368,45,51,96,8388,5261,13649,13645,7247,20892,3723,3243,6966,3709,2783,6492,942,2275,3217,18585,29510,48095,31158,19499,50657,4145,3530,7675,1420,471111,331.7683099,0.95,30.8,2024,100.5453067,331.7683099
Bunyoro,Kakumiro District,84,57,141,10593,7345,17938,13024,6025,19049,5062,4035,9097,5596,4692,10288,81,51,131,10461,7257,17718,13194,5909,19103,5521,4613,10134,5020,3987,9007,56093,81,50,131,10158,6979,17137,13161,5747,18908,5352,4518,9870,4900,3880,8780,786,2257,3043,21174,33652,54826,34359,22154,56513,5680,4749,10429,1701,428176,251.7201646,1.0028,31.3084,2024,131.0045402,251.7201646
Teso,Kalaki District,16,17,33,15992,8861,24853,16786,5037,21823,6554,5225,11779,6789,6294,13083,16,17,33,15981,8861,24842,16778,5036,21814,6789,6292,13081,6554,5225,11779,71549,16,17,33,15981,8831,24812,16781,5036,21817,6786,6292,13078,6585,5240,11825,659,1301,1960,25416,46149,71565,46137,25434,71571,6805,6311,13116,658,149736,227.56231,0,0,2024,477.8343217,227.56231
South Central,Kalangala District,2,0,2,491,461,952,1716,1774,3490,311,331,642,527,512,1039,1,6,10,385,384,769,1457,1606,3063,414,390,804,249,322,571,5217,10,0,10,386,383,769,1454,1607,3061,412,399,811,248,272,520,31,149,180,2661,2510,5171,3047,3078,6125,529,512,1041,452,74411,164.6261062,0.6351,32.5373,2024,70.11060193,164.6261062
Busoga,Kaliro District,77,55,132,19445,10346,29791,33943,14805,48748,12424,8887,21311,21328,18391,39719,77,55,129,19425,10328,29753,33891,14792,48683,21321,18391,39712,12422,8887,21309,139586,76,53,129,19288,10248,29536,33442,14658,48100,21266,18344,39610,12388,8850,21238,3149,7978,11127,52153,86460,138613,87217,52484,139701,21405,18446,39851,779,236199,303.2079589,0.8927,33.5028,2024,590.9677856,303.2079589
South Central,Kalungu District,7,7,14,4620,3715,8335,5357,2782,8139,2154,2015,4169,2103,2208,4311,7,7,14,4586,3701,8287,5325,2735,8060,2094,2197,4291,2146,2002,4148,24800,7,7,14,4495,3639,8134,5169,2680,7849,2054,2148,4202,2112,1982,4094,184,517,701,10456,13837,24293,14241,10727,24968,2110,2215,4325,790,221569,280.4670886,0.0953,31.7651,2024,111.9290153,280.4670886
Kampala,Kampala,1513,1353,2866,29034,24692,53726,74892,60502,135394,21760,19606,41366,23855,23459,47314,348,372,751,17801,14914,32715,39761,33934,73695,13774,13123,26897,11922,11079,23001,157059,371,380,751,16999,14166,31165,38312,32969,71281,13208,12562,25770,11190,10420,21610,600,3310,3910,70497,80080,150577,151054,129612,280666,25368,24812,50180,195,1797722,9219.087179,0.3152,32.5816,2024,87.36556598,9219.087179
Kampala,Kampala District,1513,1353,2866,29034,24692,53726,74892,60502,135394,21760,19606,41366,23855,23459,47314,348,372,751,17801,14914,32715,39761,33934,73695,13774,13123,26897,11922,11079,23001,157059,371,380,751,16999,14166,31165,38312,32969,71281,13208,12562,25770,11190,10420,21610,600,3310,3910,70497,80080,150577,151054,129612,280666,25368,24812,50180,195,1797722,9219.087179,0.3152,32.5816,2024,87.36556598,9219.087179
Busoga,Kamuli District,112,86,198,49194,29545,78739,84102,39191,123293,28606,21816,50422,34415,29650,64065,104,81,170,49051,29857,78908,83791,39121,122912,34224,29564,63788,28461,21765,50226,316004,98,72,170,48354,29111,77465,82071,38778,120849,34005,29109,63114,28100,21430,49530,4165,9637,13802,118500,192628,311128,196429,120288,316717,34527,29736,64263,1515,540252,356.6019802,0.9187,33.1239,2024,584.9196301,356.6019802
Tooro,Kamwenge District,25,11,36,18224,12204,30428,21130,10308,31438,9000,7464,16464,10533,10707,21240,24,11,35,17408,11854,29262,20209,9477,29686,10216,10380,20596,8848,7263,16111,95690,24,11,35,17364,11693,29057,20106,9448,29554,10127,10306,20433,8737,7150,15887,602,1656,2258,38608,56358,94966,58912,40694,99606,10558,10718,21276,1695,337167,198.9185841,0.2903,30.574,2024,283.8059478,198.9185841
Kigezi,Kanungu District,27,11,38,4185,3425,7610,7825,5691,13516,2027,1844,3871,2137,1872,4009,24,11,35,3885,3230,7115,7055,5146,12201,1978,1746,3724,1869,1719,3588,26663,24,11,35,3859,3207,7066,7001,5118,12119,1957,1733,3690,1840,1715,3555,172,441,613,11784,14681,26465,16201,12843,29044,2164,1883,4047,1275,310062,243.1858824,0.8195,0,2024,85.99247892,243.1858824
Bugisu,Kapchorwa District,1,1,2,1231,1029,2260,2362,1506,3868,531,499,1030,442,427,869,1,1,2,1230,1029,2259,2362,1498,3860,442,427,869,532,499,1031,8021,1,1,2,1228,1029,2257,2341,1494,3835,442,427,869,532,499,1031,34,54,88,3450,4544,7994,4567,3462,8029,443,428,871,212,133621,630.2877358,1.3514,34.3754,2024,60.02798961,630.2877358
Teso,Kapelebyong District,9,3,12,16100,7937,24037,16395,4867,21262,6040,4539,10579,4432,4136,8568,9,3,11,16136,7944,24080,16395,5253,21648,4432,4130,8562,6039,4539,10578,64879,8,3,11,16029,8313,24342,16289,4845,21134,4400,4090,8490,5999,4491,10490,540,1365,1905,21742,42725,64467,42976,21482,64458,4441,4139,8580,1203,143536,119.3150457,2.211,33.7518,2024,452.0050719,119.3150457
Karamoja,Karamoja,132,109,241,59640,37653,97293,88454,41554,130008,35823,29179,65002,77314,70594,147908,133,108,242,58559,36979,95538,85515,40622,126137,75372,69068,144440,35002,28475,63477,429834,132,110,242,58356,36890,95246,85826,40245,126071,75728,69060,144788,35220,28639,63859,2370,7438,9808,174944,255262,430206,261363,179089,440452,77446,70703,148149,27407,1496117,54.58886416,2.8309,34.1532,2024,287.2997232,54.58886416
Karamoja,Karenga District,0,2,2,4075,2442,6517,5305,2080,7385,1419,1171,2590,2576,2287,4863,0,2,2,3944,2378,6322,4745,1913,6658,2428,2128,4556,1378,1144,2522,20060,0,2,2,3840,2312,6152,4648,1862,6510,2402,2091,4493,1352,1104,2456,106,464,570,7371,12242,19613,13375,7982,21357,2576,2289,4865,25702,100375,3.905338106,3.5691,33.6931,2024,199.8505604,3.905338106
Tooro,Kasese District,14,16,30,11788,9395,21183,24115,16559,40674,4769,4086,8855,4936,4664,9600,14,13,27,11438,9013,20451,23343,15982,39325,4637,4448,9085,4439,3845,8284,77172,14,13,27,11361,8954,20315,23165,15907,39072,4628,4425,9053,4412,3834,8246,247,687,934,33133,43580,76713,45622,34720,80342,4950,4680,9630,2795,853831,305.4851521,0.1699,0,2024,90.38322572,305.4851521
North Central,Kassanda District,39,28,67,7139,5582,12721,11616,7046,18662,4007,3438,7445,4600,4333,8933,38,26,66,7115,5564,12679,11643,7044,18687,4554,4324,8878,3983,3408,7391,47701,38,28,66,6979,5450,12429,11402,6943,18345,6190,4264,10454,3933,3349,7282,492,2031,2523,20034,28542,48576,27401,20427,47828,4639,4361,9000,1819,314008,172.626718,0.5761,31.7195,2024,151.9101424,172.626718
Teso,Katakwi District,4,5,9,27486,17532,45018,27804,11786,39590,10896,8835,19731,7957,7312,15269,3,4,7,27364,17462,44826,27400,11732,39132,7899,7231,15130,10867,8794,19661,118756,3,4,7,26753,17133,43886,26975,11567,38542,7773,7420,15193,10624,8624,19248,1798,5370,7168,44748,72128,116876,74147,45470,119617,7961,7317,15278,2306,234332,101.6183868,1.9142,33.9583,2024,506.7852449,101.6183868
North Central,Kayunga District,133,115,248,17710,12125,29835,25715,12741,38456,12471,10033,22504,16034,14937,30971,100,81,184,17472,11916,29388,25412,12410,37822,15680,14638,30318,11771,9879,21650,119362,101,83,184,17310,11757,29067,25102,12291,37393,15672,14614,30286,11569,9752,21321,1518,3160,4678,48497,69754,118251,72063,49951,122014,16167,15052,31219,1596,439175,275.1723058,0.7014,32.9029,2024,271.7868731,275.1723058
Ankole,Kazo District,41,28,69,11124,9062,20186,12512,7670,20182,4788,3939,8727,3364,3001,6365,37,27,64,10905,8900,19805,12045,7492,19537,3248,2900,6148,4675,3860,8535,54089,37,27,64,10862,8812,19674,11952,7405,19357,3195,2866,6061,4639,3844,8483,270,924,1194,22954,30685,53639,31829,23700,55529,3405,3029,6434,1558,208898,134.0808729,0.3576,32.5571,2024,258.9254086,134.0808729
Bunyoro,Kibaale District,45,28,73,4272,3136,7408,6071,3420,9491,2281,1904,4185,2907,2891,5798,21,19,40,4064,3001,7065,5541,3033,8574,2738,2681,5419,2204,1818,4022,25120,21,19,40,4003,2967,6970,5463,3014,8477,2729,2679,5408,2211,1825,4036,549,1234,1783,10504,14427,24931,15576,11379,26955,2952,2919,5871,1153,237649,206.1136167,0.8088,31.0335,2024,105.7021069,206.1136167
North Central,Kiboga District,12,9,21,6786,5554,12340,9982,7417,17399,3612,3225,6837,3730,3699,7429,8,8,16,6729,5501,12230,9788,7003,16791,3680,3625,7305,3585,3203,6788,43130,8,8,16,6686,5477,12163,9772,7018,16790,3628,3595,7223,3560,3166,6726,171,488,659,19264,23654,42918,24122,19904,44026,3742,3708,7450,1586,183255,115.5453972,0.8658,31.9473,2024,235.3551063,115.5453972
Bukedi,Kibuku District,22,29,51,37674,18860,56534,45119,9045,54164,23885,20039,43924,48494,44504,92998,22,29,50,37674,18858,56532,45104,9033,54137,48494,44498,92992,23882,20038,43920,247631,21,29,50,37423,18725,56148,44843,8982,53825,48228,44345,92573,23761,19956,43717,3327,7964,11291,92037,154276,246313,155194,92477,247671,48516,44533,93049,484,249441,515.3739669,1.0453,33.7993,2024,992.7437751,515.3739669
Kigezi,Kigezi,33,14,47,8699,7980,16679,18316,16272,34588,4226,3842,8068,4665,4196,8861,30,14,44,8295,7703,15998,17303,15530,32833,4464,4020,8484,3992,3667,7659,65018,30,14,44,8246,7641,15887,17195,15440,32635,4423,3993,8416,3952,3653,7605,232,774,1006,30741,33846,64587,35939,32304,68243,4698,4210,8908,4993,1787231,357.9473263,0.2667,31.6167,2024,36.37918098,357.9473263
Bunyoro,Kikuube District,32,24,56,17324,9891,27215,23516,9865,33381,9334,7448,16782,16359,15812,32171,32,24,56,21156,9758,30914,23120,9734,32854,16080,15690,31770,8693,7428,16121,111715,32,24,56,16746,9502,26248,22807,9617,32424,15860,15283,31143,8525,7218,15743,1052,2780,3832,41644,63970,105614,66565,43040,109605,16391,15836,32227,2098,379547,180.9089609,1.2375,30.9876,2024,294.3377237,180.9089609
Ankole,Kiruhura District,7,4,11,7371,7173,14544,8619,6900,15519,3569,3235,6804,2703,2668,5371,7,3,10,7362,7170,14532,8591,6886,15477,2699,2662,5361,3566,3232,6798,42178,7,3,10,7362,7169,14531,8591,6885,15476,2698,2652,5350,3566,3231,6797,222,767,989,19940,22224,42164,22269,19980,42249,2710,2672,5382,3003,203502,67.76623377,0.322,30.8039,2024,207.2608623,67.76623377
Bunyoro,Kiryandongo District,18,17,35,22047,16519,38566,16811,9002,25813,10315,8836,19151,11661,11027,22688,81,15,34,21476,16063,37539,16232,8731,24963,11293,10660,21953,10018,8576,18594,103083,19,15,34,21527,16267,37794,16392,8546,24938,11335,10686,22021,10256,8630,18886,1403,2694,4097,44144,59529,103673,60852,45401,106253,11679,11044,22723,3582,364872,101.8626466,2.018,32.0837,2024,282.518253,101.8626466
Kigezi,Kisoro District,1,0,1,1162,1374,2536,2713,2870,5583,780,707,1487,1132,1093,2225,1,0,1,1156,1372,2528,2676,2852,5528,1125,1089,2214,776,705,1481,11752,1,0,1,1153,1369,2522,2671,2844,5515,1125,1089,2214,776,705,1481,1,58,59,6007,5726,11733,5788,6044,11832,1133,1093,2226,690,433662,628.4956522,1.1539,29.6499,2024,27.09944611,628.4956522
