Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE Â° N),CORDINATES (LONGITUDE Â° E),Year,Incidence_Rate,POPULATION DENSITY
Ankole,Mitooma District,2,2,4,5571,4506,10077,9227,5219,14446,2805,2551,5356,2941,2334,5275,2,2,4,5171,4210,9381,7920,4576,12496,2566,2088,4654,2607,2361,4968,31503,2,2,4,5158,4196,9354,7865,4551,12416,2559,10271,12830,2591,2342,4933,95,472,567,20546,14612,35158,2943,2336,5279,544,216771.054,398.4762022,0.6193,30.0203,2022,145.3284441,398.4762022
North Central,Mityana District,41,20,61,25199,22196,47395,36693,23946,60639,15019,13701,28720,14765,13870,28635,15,13,28,21465,18923,40388,30385,19831,50216,12844,12028,24872,12911,11908,24819,140323,18,13,31,24513,21696,46209,35605,22857,58462,14393,54381,68774,14687,13399,28086,591,1857,2448,91717,73733,165450,14806,13890,28696,1525,390332.3578,255.9556444,0.4016,32.044,2022,359.4962016,255.9556445
Karamoja,Moroto District,75,102,177,6411,4697,11108,8331,4748,13079,4607,4077,8684,9755,9174,18929,75,102,177,6221,4566,10787,7892,4453,12345,9599,8961,18560,4278,3800,8078,49947,75,102,177,6090,4472,10562,7715,4363,12078,9354,24004,33358,4149,3663,7812,197,709,906,29179,22798,51977,9830,9276,19106,3533,103597.5669,29.3228324,2.7495,34.5971,2022,482.1252226,29.32283241
West Nile,Moyo District,71,105,176,23568,18465,42033,19495,8401,27896,12971,11226,24197,13105,13009,26114,71,102,173,21446,16607,38053,17247,7515,24762,12248,12048,24296,11684,10098,21782,109066,71,101,172,23883,17989,41872,18535,8095,26630,12672,34800,47472,12665,16969,29634,276,1046,1322,69210,51206,120416,13176,13114,26290,1072,106701.266,99.53476302,3.636,31.7651,2022,1022.162193,99.53476306
South Central,Mpigi District,24,12,36,7310,6616,13926,11213,8719,19932,3890,3543,7433,3927,4000,7927,19,12,31,6977,6416,13393,10855,8064,18919,3785,3847,7632,3769,3461,7230,47205,18,11,29,6686,6145,12831,10562,7835,18397,3781,16448,20229,3619,3320,6939,160,692,852,26364,22890,49254,3951,4012,7963,1204,309803.8859,257.3121976,0.2274,32.3249,2022,152.3705872,257.3121976
North Central,Mubende District,9,10,19,13589,10573,24162,22380,17089,39469,6827,6013,12840,7140,6559,13699,8,10,18,13189,10229,23418,21654,16429,38083,6861,6247,13108,6584,5780,12364,86991,8,20,28,12952,10118,23070,21248,16398,37646,6878,31899,38777,6666,5762,12428,850,1813,2663,49945,40244,90189,7149,6569,13718,2711,498075.4837,183.7238966,0.449,31.3542,2022,174.6542499,183.7238966
North Central,Mukono District,132,115,247,22252,18930,41182,36086,21767,57853,14127,12856,26983,14127,13701,27828,107,100,207,21558,18450,40008,33572,20403,53975,13267,12992,26259,13593,12333,25926,146375,107,99,206,21254,18145,39399,32826,19991,52817,12998,48499,61497,13352,12128,25480,877,3222,4099,86724,67369,154093,14259,13816,28075,1831,850477.2084,464.4878255,0.2835,0,2022,172.1092565,464.4878255
Karamoja,Nabilatuk District,3,8,11,3578,1826,5404,5296,1913,7209,2681,2225,4906,10475,8952,19427,3,8,11,3574,1819,5393,5294,1891,7185,10475,8950,19425,2680,2255,4935,36949,3,8,11,3574,1819,5393,5294,1891,7185,10474,23613,34087,2681,2255,4936,250,750,1000,22033,14924,36957,10478,8960,19438,1561,119084.0039,76.286998,2.091,34.5971,2022,310.2767693,76.28699801
Karamoja,Nakapiripirit District,71,73,144,5130,3503,8633,9744,7677,17421,3679,3139,6818,12408,11731,24139,12,16,28,4739,3347,8086,7794,6762,14556,11506,10910,22416,3489,2981,6470,51556,13,14,27,4702,3337,8039,7716,6769,14485,11459,30940,42399,3472,2981,6453,267,649,916,31032,26123,57155,12479,11804,24283,2641,106550.8415,40.34488508,1.7013,34.5971,2022,483.8629078,40.34488508
North Central,Nakaseke District,9,5,14,9863,8532,18395,14823,12555,27378,5583,5268,10851,5729,5760,11489,5,2,7,9103,7859,16962,12960,10640,23600,5158,5048,10206,5225,4889,10114,60889,5,2,7,8866,7701,16567,12871,10747,23618,5005,22383,27388,5068,4858,9926,245,871,1116,36007,32120,68127,5738,5765,11503,3475,239522.879,68.92744719,1.2231,32.0837,2022,254.2095363,68.92744719
