Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Bukedi,Kibuku District,23,14,37,38466,20760,59226.0,49529,12537,62066,30158,23841,53999,41573,37032.0,78605,23,14,37,38017,20473,58490,49084,12272.0,61356,41071,36627,77698,29787,23496,53283,250864,23,14,37,38331,20663,58994,49370,12345,61715,41394,36895,78289,30056,23730,53786,1950,4505,6455,159749,94184,253933,41596,37046,78642,202033.0,249441.0,484.0,239143.584,494.0983141,1.0453,33.7993,2022,1049.009953785756,494.0983140495868
Kigezi,Kigezi,54,25,79,26683,23947,50630.0,39249,30558,69807,12663,11478,24141,13085,11670.0,24755,32,24,56,25675,23021,48696,36776,29013.0,65789,12159,10890,23049,12027,10909,22936,160526,21,13,34,24531,22318,46849,35323,28078,63401,11634,10433,22067,11550,10437,21987,374,1309,1683,91734,77678,169412,13139,11695,24834,1376774.0,1787231.0,4993.0,1696356.324,339.7469105,0.2667,31.6167,2022,94.62988272504003,339.74691047466456
Bunyoro,Kikuube District,25,25,50,26944,17337,44281.0,32837,16865,49702,15900,13140,29040,27180,26223.0,53403,24,24,48,25991,16645,42636,31783,16145.0,47928,26560,25949,52509,18688,12857,31545,174666,23,37,60,25906,17011,42917,30986,15734,46720,26492,25629,52121,15571,12783,28354,1327,3374,4701,102886,73590,176476,27205,26248,53453,267455.0,379547.0,2098.0,353885.3585,168.6774826,1.2375,30.9876,2022,493.56661925870554,168.67748260247853
Ankole,Kiruhura District,1,6,7,9921,10125,20046.0,11828,9409,21237,5167,5073,10240,4387,4316.0,8703,1,6,7,9775,10032,19807,11366,8984.0,20350,4213,4146,8359,5094,4987,10081,58604,1,6,7,9734,9996,19730,11279,8936,20215,4176,4098,8274,5069,4960,10029,186,671,857,31304,28929,60233,4388,4322,8710,151023.0,203502.0,3003.0,191718.2976,63.84225696,0.322,30.8039,2022,305.6776569249069,63.84225694305694
Bunyoro,Kiryandongo District,69,33,102,18909,14961,33870.0,17032,7874,24906,10235,8361,18596,14136,13399.0,27535,62,24,86,18280,14592,32872,15929,7342.0,23271,13560,12939,26499,10744,8064,18808,101536,64,24,88,17988,14411,32399,15665,7327,22992,13279,12488,25767,9710,8021,17731,2649,3604,6253,60381,44628,105009,14205,13432,27637,266197.0,364872.0,3582.0,342572.9449,95.63733806,2.018,32.0837,2022,296.39234945900125,95.63733805136795
Kigezi,Kisoro District,1,0,1,1622,1758,3380.0,3306,3334,6640,943,904,1847,1149,1080.0,2229,1,0,1,1566,1706,3272,3148,3253.0,6401,1093,1025,2118,925,843,1768,13560,1,0,1,1632,1661,3293,3038,3189,6227,1050,990,2040,906,820,1726,6,53,59,7021,7076,14097,1150,1080,2230,281705.0,433662.0,690.0,397813.9477,576.5419532,1.1539,29.6499,2022,34.08628600982559,576.5419531884058
Tooro,Kitagwenda District,25,19,44,8784,7235,16019.0,12738,7102,19840,4102,3527,7629,4338,3854.0,8192,24,18,42,8733,7191,15924,12621,6859.0,19480,4263,3796,8059,4055,3496,7551,51056,24,18,42,8723,7189,15912,12597,6960,19557,4260,3778,8038,4053,3501,7554,637,1094,1731,29987,21737,51724,4363,3873,8236,143786.0,184947.0,677.0,175865.7034,259.7720877,0.0,0.0,2022,290.3124316619883,259.7720877400295
Acholi,Kitgum District,122,107,229,36172,21689,57861.0,33238,11528,44766,15754,12662,28416,20042,19239.0,39281,116,97,213,35295,21431,56726,31272,11196.0,42468,19468,18643,38111,15557,12494,28051,165569,115,97,212,34348,20880,55228,30593,10928,41521,19215,18435,37650,15314,12312,27626,1038,2048,3086,105328,65225,170553,20164,19346,39510,204048.0,239655.0,4391.0,232068.2161,52.85088046,3.3397,33.1689,2022,713.4497036365162,52.85088046003188
West Nile,Koboko District,147,77,224,24358,13193,37551.0,27671,9987,37658,13634,10315,23949,17288,16074.0,33362,129,77,206,23418,12669,36087,25913,9707.0,35620,16555,15247,31802,13071,9838,22909,126624,129,78,207,22397,11970,34367,25151,9241,34392,15928,14752,30680,12479,9388,21867,1094,2663,3757,83098,49646,132744,17435,16151,33586,206495.0,271781.0,739.0,257251.0653,348.1069896,3.5237,31.0335,2022,492.2195360098282,348.1069895805142
Lango,Kole District,26,14,40,21223,9991,31214.0,24421,7507,31928,9437,7029,16466,14151,12337.0,26488,26,14,40,21223,9970,31193,24221,7506.0,31727,14151,12337,26488,9437,7029,16466,105914,26,14,40,20829,9780,30609,23797,7359,31156,13894,12094,25988,9274,6909,16183,3066,6285,9351,69258,36878,106136,14177,12351,26528,239327.0,294301.0,1073.0,282378.5668,263.1673502,2.3031,0.0,2022,375.0780422191732,263.16735023299157
Karamoja,Kotido District,40,37,77,9009,6230,15239.0,22015,12450,34465,6856,5741,12597,23103,21205.0,44308,35,34,69,8513,5997,14510,20312,11173.0,31485,22393,20478,42871,6612,5386,11998,100933,35,35,70,8502,5969,14471,20281,11493,31774,21980,20254,42234,6479,5339,11818,192,955,1147,61023,45663,106686,23143,21242,44385,181050.0,219734.0,3610.0,211386.63,58.55585318,3.0352,0.0,2022,477.4805293977202,58.555853185595566
Teso,Kumi District,5,2,7,34629,21087,55716.0,43400,20674,64074,16085,13195,29280,17816,16842.0,34658,5,0,5,34510,21017,55527,42809,20371.0,63180,17677,16722,34399,15984,13076,29060,182171,5,0,5,34175,20781,54956,42537,20223,62760,19162,16621,35783,15854,12975,28829,1532,3146,4678,111935,71800,183735,17821,16844,34665,239268.0,286992.0,1005.0,276740.5225,275.3637039,1.4877,33.9304,2022,658.2736722266613,275.3637039800995
Lango,Kwania District,24,15,39,17970,8772,26742.0,20622,7329,27951,8662,6653,15315,11870,10542.0,22412,24,14,38,17863,8753,26616,20441,7310.0,27751,11838,10539,22377,8653,6644,15297,92079,24,14,38,16535,8011,24546,18775,6554,25329,11065,9804,20869,7962,6142,14104,1186,2018,3204,59148,33311,92459,11894,10557,22451,183304.0,216125.0,1223.0,209121.3594,170.990482,1.9033,32.7633,2022,440.3137023601426,170.9904819296811
Bugisu,Kween District,0,0,0,2465,2605,5070.0,4935,3677,8612,1129,1084,2213,1053,1022.0,2075,0,0,0,2310,2466,4776,4499,3415.0,7914,954,925,1879,1058,1011,2069,16638,0,0,0,2204,2384,4588,4360,3364,7724,918,903,1821,1004,981,1985,74,132,206,9582,8388,17970,1053,1022,2075,93667.0,129277.0,851.0,121208.851,142.4310823,1.4126,34.5528,2022,137.2672033661964,142.43108225616922
North Central,Kyankwanzi District,92,16,108,9003,6124,15127.0,13040,6439,19479,5403,4422,9825,6746,6175.0,12921,90,15,105,8596,5885,14481,12165,6115.0,18280,6461,5963,12424,5149,4252,9401,54691,90,80,170,7836,5370,13206,11016,5524,16540,5864,5387,11251,4711,3837,8548,498,1757,2255,34284,23176,57460,6838,6191,13029,214693.0,278432.0,2455.0,264325.3978,107.6681865,1.2061,31.8164,2022,206.90785091102586,107.6681864765784
Tooro,Kyegegwa District,271,204,475,20103,14559,34662.0,34387,17466,51853,11851,9817,21668,13421,12436.0,25857,258,184,442,19658,14217,33875,32574,16345.0,48919,13184,12049,25233,11466,9729,21195,129664,259,184,443,19273,15325,34598,31720,15922,47642,12805,11688,24493,11301,9471,20772,981,2682,3663,80033,54482,134515,13692,12640,26332,281637.0,501120.0,1882.0,446571.8369,237.2857794,0.4818,31.055,2022,290.354181087858,237.2857794367694
Tooro,Kyenjojo District,45,29,74,24289,18136,42425.0,32139,20553,52692,11951,10357,22308,14294,13775.0,28069,42,30,72,22654,16926,39580,28720,17599.0,46319,13238,12757,25995,11268,9655,20923,132889,43,31,74,22556,16900,39456,28676,17605,46281,13224,12663,25887,11193,9629,20822,670,1558,2228,82718,62850,145568,14339,13804,28143,422204.0,543998.0,2352.0,517109.2556,219.8593774,0.6093,30.6401,2022,256.9843772102075,219.85937738095237
South Central,Kyotera District,12,13,25,23013,20961,43974.0,24693,16515,41208,13196,11816,25012,10038,9569.0,19607,12,13,25,23013,20961,43974,24693,16515.0,41208,10040,9569,19609,13196,11814,25010,129826,12,13,25,23013,20961,43974,24693,16516,41209,10040,9568,19608,13196,11814,25010,346,1097,1443,70952,58874,129826,10050,9582,19632,239563.0,275917.0,1723.0,268229.6087,155.6759192,0.6359,31.5456,2022,484.0106975110388,155.67591915264074
Acholi,Lamwo District,118,112,230,52193,41354,93547.0,35126,12565,47691,23612,21267,44879,23887,23659.0,47546,117,108,225,50317,39778,90095,33966,12049.0,46015,23136,22833,45969,22847,20515,43362,225666,117,108,225,50466,39919,90385,34189,12304,46493,23224,22889,46113,22940,20608,43548,984,2237,3221,134936,98957,233893,24005,23771,47776,134371.0,213156.0,5588.0,194365.4908,34.78265762,3.491,32.808,2022,1161.0394369451512,34.78265762347888
Lango,Lango,583,552,1135,239882,122152,362034.0,285823,95366,381189,114644,87347,201991,150079,136089.0,286168,578,546,1124,238544,121474,360018,283099,94396.0,377495,149027,135308,284335,114113,86917,201030,1224002,580,540,1120,234463,119423,353886,278162,92308,370470,146745,133009,279754,112274,85480,197754,15777,30407,46184,791011,441506,1232517,150662,136641,287303,2061694.0,2546118.0,12856.0,2440886.937,189.8636385,0.0,0.0,2022,501.45788460991713,189.8636385345364
Lango,Lira City,35,34,69,8678,5154,13832.0,15592,6927,22519,4571,3759,8330,7376,7003.0,14379,33,34,67,8526,5045,13571,15249,6778.0,22027,7067,6786,13853,4462,3634,8096,57614,26,29,55,7981,4715,12696,14271,6236,20507,6643,6419,13062,4260,3457,7717,293,948,1241,36252,22877,59129,7411,7037,14448,207482.0,245132.0,285.0,237091.5588,831.9002063,2.2596,32.8903,2022,243.00316844515174,831.9002063157894
Lango,Lira District,2,5,7,13095,6722,19817.0,19598,6145,25743,7066,5253,12319,9752,8554.0,18306,2,5,7,13010,6700,19710,19387,6106.0,25493,9709,8531,18240,7042,5239,12281,75731,2,5,7,12958,6675,19633,19301,6061,25362,9681,8501,18182,7015,5222,12237,754,1111,1865,49513,26679,76192,9754,8559,18313,200561.0,242216.0,1046.0,233244.5794,222.9871696,2.2316,32.9438,2022,324.6849302770978,222.98716959847036
Busoga,Luuka District,29,32,61,24874,12844,37718.0,39605,14877,54482,16688,11974,28662,25515,20970.0,46485,28,31,59,24780,12773,37553,39415,14739.0,54154,25331,20780,46111,16635,11922,28557,166434,28,31,59,24427,12554,36981,38909,14518,53427,24751,20316,45067,16401,11750,28151,2150,5413,7563,106711,60697,167408,25544,21002,46546,238020.0,298639.0,650.0,285390.7602,439.062708,0.7251,33.3037,2022,583.1793569047719,439.06270800000004
North Central,Luwero District,214,142,356,27548,25506,53054.0,32972,20267,53239,16291,15528,31819,15974,15719.0,31693,199,136,335,26589,23819,50408,31108,19751.0,50859,15069,14715,29784,15772,15080,30852,162238,192,127,319,26191,23397,49588,31850,19292,51142,14880,14528,29408,15482,15606,31088,3636,2655,6291,92999,77162,170161,16188,15861,32049,456958.0,616242.0,2216.0,580465.3395,261.9428428,0.8271,0.0,2022,279.4964470053427,261.94284273465706
South Central,Lwengo District,50,31,81,15560,12995,28555.0,16129,8680,24809,8732,7573,16305,7754,7272.0,15026,32,23,55,14922,12530,27452,14324,7648.0,21972,7117,6630,13747,8343,7247,15590,78816,32,23,55,14715,12256,26971,13889,7429,21318,6941,6405,13346,8119,7040,15159,383,1128,1511,48225,36551,84776,7804,7303,15107,262604.0,325263.0,988.0,311636.2703,315.4213262,0.4165,31.3999,2022,252.91022743959468,315.4213262145749
South Central,Lyantonde District,21,9,30,7881,6778,14659.0,9178,5938,15116,4011,3749,7760,5411,2858.0,8269,19,9,28,7867,6760,14627,9125,5904.0,15029,3009,2836,5845,4007,3746,7753,43282,18,8,26,7646,6602,14248,8915,5776,14691,2921,2770,5691,3924,3666,7590,170,415,585,26502,19332,45834,5432,2867,8299,93753.0,133017.0,887.0,124028.8605,139.829606,0.2241,31.2168,2022,348.96716639592125,139.8296059751973
West Nile,Madi-Okollo District,29,22,51,27089,17943,45032.0,27088,8405,35493,14879,11977,26856,16984,16772.0,33756,28,22,50,26921,17851,44772,27749,8332.0,36081,16892,16681,33573,14697,11888,26585,141061,28,22,50,28287,17935,46222,27187,8430,35617,16940,16685,33625,14881,11976,26857,1123,2377,3500,86069,55119,141188,17013,16794,33807,140188.0,178051.0,2048.0,169737.4611,82.87961966,2.8218,31.2168,2022,831.0540235834835,82.87961967773437
Bugisu,Manafwa District,2,2,4,7426,5731,13157.0,12106,8002,20108,5490,5066,10556,9139,7911.0,17050,18,2,20,7307,5595,12902,11755,7659.0,19414,8974,7773,16747,5384,4895,10279,59362,2,2,4,7097,5398,12495,11428,7357,18785,8678,7513,16191,5142,4602,9744,896,1459,2355,34163,26712,60875,9141,7913,17054,149544.0,186917.0,237.0,178761.0267,754.2659352,0.0,0.0,2022,332.07461993168334,754.265935443038
West Nile,Maracha District,2,3,5,31883,18068,49951.0,32149,9970,42119,18232,13341,31573,15428,13973.0,29401,2,4,6,31762,18022,49784,31905,9924.0,41829,15272,13933,29205,18202,13299,31501,152325,2,3,5,31149,17661,48810,31789,9726,41515,15056,13621,28677,17842,13025,30867,1816,4033,5849,97694,55355,153049,15430,13976,29406,186134.0,234712.0,440.0,224074.9857,509.2613311,3.2873,30.9403,2022,679.794754975187,509.2613311363636
South Central,Masaka City,8,3,11,4573,4652,9225.0,6993,5366,12359,2809,2613,5422,2669,2620.0,5289,8,3,11,4523,4594,9117,6567,5190.0,11757,2584,2497,5081,2767,2592,5359,31325,8,3,11,4510,4587,9097,6604,5210,11814,2577,2505,5082,2747,2579,5326,150,523,673,17052,15254,32306,2677,2623,5300,211591.0,294166.0,340.0,275406.0131,810.0176857,0.3427,31.7369,2022,113.74116217508252,810.0176855882353
South Central,Masaka District,4,5,9,4425,4166,8591.0,4590,3225,7815,2250,2202,4452,1755,1723.0,3478,4,5,9,4432,4200,8632,4611,3202.0,7813,1764,1708,3472,2296,2205,4501,24427,4,5,9,4427,4194,8621,4611,3202,7813,1756,1723,3479,2304,2202,4506,73,293,366,13024,11321,24345,1759,1728,3487,106626.0,115455.0,855.0,113632.5676,132.9035878,0.4464,31.9018,2022,214.96478092430257,132.90358783625732
Bunyoro,Masindi District,10,12,22,12737,9900,22637.0,15627,10695,26322,7706,6837,14543,9695,9251.0,18946,7,11,18,11768,9102,20870,14052,9282.0,23334,8861,8236,17097,7209,6341,13550,74869,7,11,18,12062,9435,21497,14589,9420,24009,9411,8439,17850,7438,6594,14032,446,956,1402,45775,36695,82470,9705,9263,18968,291113.0,342635.0,3891.0,331648.2416,85.23470615,1.6873,31.7138,2022,225.74821937484984,85.23470614237985
Busoga,Mayuge District,40,12,52,26674,13696,40370.0,48146,18442,66588,17235,12945,30180,24491,21347.0,45838,40,11,51,26500,13615,40115,47538,18298.0,65836,24361,21202,45563,17190,12957,30147,181712,39,11,50,26165,13769,39934,46965,17950,64915,24188,21062,45250,17209,12788,29997,2508,4918,7426,116586,66442,183028,24531,21359,45890,473239.0,577563.0,1075.0,555003.3397,516.2821764,0.3125,33.528,2022,327.40703884452677,516.2821764651163
Bugisu,Mbale City,44,29,73,12691,12028,24719.0,28047,14528,42575,6915,5856,12771,10262,8837.0,19099,38,71,109,12101,7695,19796,25740,13489.0,39229,9884,8575,18459,6494,8522,15016,92609,48,22,70,12086,7714,19800,25592,13510,39102,9785,8482,18267,6426,5640,12066,652,1446,2098,57959,41278,99237,10306,8866,19172,266617.0,290414.0,156.0,285490.4639,1830.067076,1.0871,34.1781,2022,324.3856160198702,1830.0670762820512
Bugisu,Mbale District,60,24,84,14132,9460,23592.0,21724,10665,32389,8240,6543,14783,12161,10291.0,22452,48,17,65,13857,9273,23130,21383,10472.0,31855,11911,10070,21981,8065,6452,14517,91548,49,17,66,13654,9177,22831,21104,10377,31481,11804,9914,21718,7949,9139,17088,821,1592,2413,56317,36983,93300,12221,10315,22536,222343.0,290356.0,360.0,275263.949,764.6220806,1.0344,34.1977,2022,332.5826005642315,764.6220805555556
Ankole,Mbarara City,9,5,14,1426,1239,2665.0,3467,3011,6478,830,755,1585,934,1013.0,1947,1,2,3,1191,1046,2237,2874,2557.0,5431,812,861,1673,692,620,1312,10656,1,2,3,1103,972,2075,2613,2400,5013,765,830,1595,642,584,1226,35,150,185,6666,6023,12689,943,1018,1961,199066.0,264425.0,471.0,249828.1824,530.4207695,0.6121,0.0,2022,42.65331436042182,530.4207694267516
Ankole,Mbarara District,17,9,26,3016,3020,6036.0,4327,2744,7071,1496,1372,2868,1474,1366.0,2840,13,2,15,2852,2874,5726,3863,2519.0,6382,1371,1263,2634,1431,1306,2737,17494,3,2,5,2708,2693,5401,3680,2416,6096,1288,1193,2481,1362,1241,2603,32,145,177,10330,8511,18841,1491,1375,2866,145838.0,174039.0,773.0,167993.0842,217.3261115,0.6121,30.6373,2022,104.13523915766051,217.32611151358347
Ankole,Mitooma District,2,2,4,5571,4506,10077.0,9227,5219,14446,2805,2551,5356,2941,2334.0,5275,2,2,4,5171,4210,9381,7920,4576.0,12496,2566,2088,4654,2607,2361,4968,31503,2,2,4,5158,4196,9354,7865,4551,12416,2559,2078,4637,2591,2342,4933,95,472,567,20546,14612,35158,2943,2336,5279,183444.0,226009.0,544.0,216771.054,398.4762022,0.6193,30.0203,2022,145.32844408276026,398.4762022058824
North Central,Mityana District,41,20,61,25199,22196,47395.0,36693,23946,60639,15019,13701,28720,14765,13870.0,28635,15,13,28,21465,18923,40388,30385,19831.0,50216,12844,12028,24872,12911,11908,24819,140323,18,13,31,24513,21696,46209,35605,22857,58462,14393,13471,27864,14687,13399,28086,591,1857,2448,91717,73733,165450,14806,13890,28696,328964.0,407386.0,1525.0,390332.3578,255.9556444,0.4016,32.044,2022,359.4962016238972,255.95564445901638
Karamoja,Moroto District,75,102,177,6411,4697,11108.0,8331,4748,13079,4607,4077,8684,9755,9174.0,18929,75,102,177,6221,4566,10787,7892,4453.0,12345,9599,8961,18560,4278,3800,8078,49947,75,102,177,6090,4472,10562,7715,4363,12078,9354,8816,18170,4149,3663,7812,197,709,906,29179,22798,51977,9830,9276,19106,103432.0,103639.0,3533.0,103597.5669,29.3228324,2.7495,34.5971,2022,482.1252225760526,29.322832408717804
West Nile,Moyo District,71,105,176,23568,18465,42033.0,19495,8401,27896,12971,11226,24197,13105,13009.0,26114,71,102,173,21446,16607,38053,17247,7515.0,24762,12248,12048,24296,11684,10098,21782,109066,71,101,172,23883,17989,41872,18535,8095,26630,12672,12475,25147,12665,16969,29634,276,1046,1322,69210,51206,120416,13176,13114,26290,95951.0,109572.0,1072.0,106701.266,99.53476302,3.636,31.7651,2022,1022.1621925273125,99.53476305970149
South Central,Mpigi District,24,12,36,7310,6616,13926.0,11213,8719,19932,3890,3543,7433,3927,4000.0,7927,19,12,31,6977,6416,13393,10855,8064.0,18919,3785,3847,7632,3769,3461,7230,47205,18,11,29,6686,6145,12831,10562,7835,18397,3781,3788,7569,3619,3320,6939,160,692,852,26364,22890,49254,3951,4012,7963,250548.0,326690.0,1204.0,309803.8859,257.3121976,0.2274,32.3249,2022,152.37058716312248,257.3121975913621
North Central,Mubende District,9,10,19,13589,10573,24162.0,22380,17089,39469,6827,6013,12840,7140,6559.0,13699,8,10,18,13189,10229,23418,21654,16429.0,38083,6861,6247,13108,6584,5780,12364,86991,8,20,28,12952,10118,23070,21248,16398,37646,6878,6301,13179,6666,5762,12428,850,1813,2663,49945,40244,90189,7149,6569,13718,412804.0,522015.0,2711.0,498075.4837,183.7238966,0.449,31.3542,2022,174.6542499015998,183.7238966064183
North Central,Mukono District,132,115,247,22252,18930,41182.0,36086,21767,57853,14127,12856,26983,14127,13701.0,27828,107,100,207,21558,18450,40008,33572,20403.0,53975,13267,12992,26259,13593,12333,25926,146375,107,99,206,21254,18145,39399,32826,19991,52817,12998,12842,25840,13352,12128,25480,877,3222,4099,86724,67369,154093,14259,13816,28075,596804.0,929224.0,1831.0,850477.2084,464.4878255,0.2835,0.0,2022,172.10925649068813,464.48782545057344
Karamoja,Nabilatuk District,3,8,11,3578,1826,5404.0,5296,1913,7209,2681,2225,4906,10475,8952.0,19427,3,8,11,3574,1819,5393,5294,1891.0,7185,10475,8950,19425,2680,2255,4935,36949,3,8,11,3574,1819,5393,5294,1891,7185,10474,8949,19423,2681,2255,4936,250,750,1000,22033,14924,36957,10478,8960,19438,68409.0,136785.0,1561.0,119084.0039,76.286998,2.091,34.5971,2022,310.2767692546488,76.28699801409353
Karamoja,Nakapiripirit District,71,73,144,5130,3503,8633.0,9744,7677,17421,3679,3139,6818,12408,11731.0,24139,12,16,28,4739,3347,8086,7794,6762.0,14556,11506,10910,22416,3489,2981,6470,51556,13,14,27,4702,3337,8039,7716,6769,14485,11459,10872,22331,3472,2981,6453,267,649,916,31032,26123,57155,12479,11804,24283,88281.0,111681.0,2641.0,106550.8415,40.34488508,1.7013,34.5971,2022,483.86290783071854,40.344885081408556
North Central,Nakaseke District,9,5,14,9863,8532,18395.0,14823,12555,27378,5583,5268,10851,5729,5760.0,11489,5,2,7,9103,7859,16962,12960,10640.0,23600,5158,5048,10206,5225,4889,10114,60889,5,2,7,8866,7701,16567,12871,10747,23618,5005,4949,9954,5068,4858,9926,245,871,1116,36007,32120,68127,5738,5765,11503,197373.0,251398.0,3475.0,239522.879,68.92744719,1.2231,32.0837,2022,254.20953628400568,68.9274471942446
North Central,Nakasongola District,46,30,76,17194,13573,30767.0,17477,11438,28915,11134,9875,21009,12646,12331.0,24977,49,35,84,16594,13075,29669,16697,10973.0,27670,12212,11914,24126,10946,9807,20753,102302,50,35,85,16443,13023,29466,16884,11010,27894,12168,11915,24083,10877,9709,20586,559,1721,2280,58497,47247,105744,12692,12361,25053,181795.0,226074.0,3314.0,216429.7121,65.30769827,1.349,32.4467,2022,472.68001702433537,65.30769828002414
Busoga,Namayingo District,49,43,92,20650,12778,33428.0,33357,16806,50163,14430,11623,26053,25199,22239.0,47438,49,43,92,20308,12520,32828,33037,16706.0,49743,24915,22061,46976,14280,11446,25726,155365,48,41,89,19661,12157,31818,32897,16223,49120,24557,23091,47648,13771,11199,24970,1934,3639,5573,93685,63489,157174,25248,22282,47530,215443.0,266716.0,587.0,255567.5638,435.3791547,0.3426,33.8411,2022,607.9214345118705,435.37915468483817
Bugisu,Namisindwa District,1,1,2,6906,4855,11761.0,11200,5959,17159,3993,3265,7258,5863,5133.0,10996,1,1,2,6653,4704,11357,10491,5627.0,16118,5529,4868,10397,3846,3205,7051,44925,1,1,2,6540,4543,11083,10302,5538,15840,5446,4830,10276,3764,3098,6862,1023,1449,2472,27963,19213,47176,5864,5134,10998,204281.0,257346.0,298.0,245730.7651,824.5998829,0.9054,34.3754,2022,182.8220409508667,824.599882885906
Busoga,Namutumba District,20,22,42,19737,11934,31671.0,32383,14373,46756,16444,13273,29717,23783,20955.0,44738,20,22,42,19509,11864,31373,31925,14260.0,46185,23479,20722,44201,16299,13167,29466,151267,20,20,40,18700,11373,30073,30018,13715,43733,22713,19983,42696,15674,14094,29768,982,2802,3784,92367,60557,152924,23803,20977,44780,252557.0,311339.0,812.0,298578.6176,367.7076571,0.8493,33.6623,2022,506.6236866387046,367.70765714285716
Karamoja,Napak District,19,11,30,7280,4750,12030.0,11809,4376,16185,6230,4903,11133,14840,12874.0,27714,19,11,30,7139,4672,11811,11359,4249.0,15608,14621,12701,27322,6176,4835,11011,65782,19,11,30,7064,4631,11695,11303,4233,15536,14530,12617,27147,6131,4797,10928,650,1103,1753,40178,26914,67092,14859,12885,27744,142224.0,211830.0,4822.0,195607.0713,40.56554776,2.4265,34.331,2022,336.29663571370077,40.56554776026545
West Nile,Nebbi District,24,16,40,29598,16804,46402.0,37878,15297,53175,15168,12719,27887,23007,22433.0,45440,24,16,40,29408,16727,46135,37592,15236.0,52828,22877,22377,45254,15102,13196,28298,172555,24,16,40,29110,16505,45615,36817,14641,51458,22616,22069,44685,14947,12181,27128,1341,2392,3733,105675,67269,172944,23031,22449,45480,238757.0,299398.0,987.0,286147.7521,289.9166688,2.4104,31.2168,2022,603.0276272787117,289.9166687943262
Teso,Ngora District,8,3,11,15994,9847,25841.0,23139,10554,33693,8267,6194,14461,7859,6664.0,14523,8,3,11,15878,9797,25675,23084,10490.0,33574,7859,6575,14434,8267,6194,14461,88155,8,3,11,15764,9689,25453,22633,10258,32891,7642,6499,14141,8192,6140,14332,1366,2835,4201,55267,33262,88529,7867,6667,14534,141919.0,213777.0,640.0,196959.4809,307.7491889,1.4908,33.7518,2022,447.57936808717494,307.74918890624997
North Central,North Central,741,469,1210,186148,152005,338153.0,261866,169995,431861,114061,101651,215712,125049,119096.0,244145,641,429,1070,177383,143955,321338,244529,159298.0,403827,118679,112928,231607,108946,97297,206243,1164085,640,493,1133,177362,148087,325449,246532,160068,406600,118163,112866,231029,108865,97964,206829,10801,23067,33868,687865,543216,1231081,125790,119565,245355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0
Tooro,Ntoroko District,1,4,5,2750,2094,4844.0,3486,1888,5374,1750,1536,3286,1985,1790.0,3775,1,4,5,2736,2075,4811,3468,1872.0,5340,1966,1778,3744,1739,1532,3271,17171,1,4,5,2580,1967,4547,3353,1811,5164,1902,1722,3624,1671,1456,3127,54,139,193,9972,7312,17284,1986,1794,3780,67005.0,114858.0,1236.0,103121.7898,83.43186877,1.0125,30.3897,2022,166.51185004936755,83.43186877022653
Ankole,Ntungamo District,24,14,38,13738,12422,26160.0,18986,12006,30992,6134,5448,11582,5245,4737.0,9982,22,13,35,12875,11831,24706,17161,11235.0,28396,4707,4292,8999,5721,5124,10845,72981,22,13,35,12591,11548,24139,16851,11022,27873,4616,4209,8825,5611,5031,10642,168,568,736,44127,34627,78754,5269,4751,10020,483841.0,552786.0,1999.0,538252.6315,269.2609462,0.9807,30.2513,2022,135.58874723309177,269.26094622311155
