Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
North Central,Buvuma District,6,2,8,3597,2621,6218,6716,3629,10345,2487,2205,4692,3661,3449,7110,6,2,8,3590,2614,6204,6638,3600,10238,3625,3397,7022,2478,2201,4679,28151,2201,2,2203,2201,2614,4815,6639,3600,10239,2,3399,3401,2478,2202,4680,193,507,700,16467,11906,28373,3258,3451,6709,8989,110832,296,1.285568963,86212.41113,291.2581457,0.3765,33.2588
Busoga,Buyende District,32,29,61,12856,7062,19918,21736,8763,30499,9006,7503,16509,15822,14080,29902,32,29,61,12852,7056,19908,21718,8754,30472,15817,14073,29890,9000,7477,16477,96808,7477,29,7506,7477,6746,14223,21041,8504,29545,29,13667,13696,8667,7075,15742,4193,8233,12426,59452,37437,96889,17753,14109,31862,323067,403486,1379,1.022477093,394616.1755,286.1611135,1.2414,33.1239
Lango,Dokolo District,17,5,22,29890,15030,44920,28586,7923,36509,11598,8353,19951,14074,12538,26612,16,5,21,29430,14824,44254,28157,7824,35981,13862,12237,26099,11416,8225,19641,125996,8225,5,8230,8225,14703,22928,28043,7778,35821,5,12209,12214,11338,8146,19484,1757,3430,5187,84165,43849,128014,8980,12543,21523,183093,215625,1004,1.016489126,212127.2077,211.2820794,1.9131,33.1717
Tooro,Fort Portal City,14,7,21,2271,2097,4368,4212,3243,7455,1405,1244,2649,1453,1417,2870,14,7,21,2226,2068,4294,4130,3203,7333,1447,1413,2860,1365,1238,2603,17111,1238,12,1250,1238,2058,3296,4063,3165,7228,12,1399,1411,1352,1191,2543,50,231,281,9355,8008,17363,604,1424,2028,10224,137549,127,1.296831825,106065.4106,835.1607137,0.6546,30.2801
South Central,Gomba District,4,0,4,6114,4985,11099,7520,5366,12886,3289,2942,6231,2541,2501,5042,4,0,4,5880,4772,10652,6859,4779,11638,2458,2409,4867,3090,2771,5861,33022,2771,0,2771,2771,4326,7097,6452,4543,10995,0,2226,2226,2838,2536,5374,156,827,983,19468,15794,35262,1861,2501,4362,159922,19912,1670,0.811933886,24524.16427,14.68512831,0.223,31.6739
Acholi,Gulu City,84,97,181,12750,8826,21576,20433,10878,31311,7030,6728,13758,9583,9345,18928,74,84,158,11955,8167,20122,18338,9462,27800,8937,8743,17680,6422,6077,12499,78259,6077,78,6155,6077,8075,14152,18125,9378,27503,78,8669,8747,6354,6013,12367,509,1515,2024,49880,35874,85754,8017,9442,17459,185042,233271,222,1.023432122,227930.1138,1026.712224,2.7743,32.2882
Acholi,Gulu District,50,45,95,21110,11053,32163,18658,7691,26349,9492,6989,16481,11116,10004,21120,49,44,93,20517,10736,31253,18013,7050,25063,10905,9715,20620,9274,6844,16118,93147,6844,46,6890,6844,10477,17321,17640,6950,24590,46,9880,9926,9070,6706,15776,873,1636,2509,60426,35782,96208,9723,10049,19772,108428,135373,1721,1.022442893,132401.5267,76.93290335,2.955,32.4467
Bunyoro,Hoima City,13,8,21,3616,2664,6280,6322,3825,10147,1605,1398,3003,2129,2055,4184,7,6,13,3244,2406,5650,5677,3270,8947,1957,1916,3873,1449,1239,2688,21171,1239,6,1245,1239,2463,3702,5793,3385,9178,6,1964,1970,1491,1306,2797,66,286,352,13685,9950,23635,1645,2063,3708,100099,143304,227,1.036532342,138253.2838,609.0453031,1.4274,31.3484
Bunyoro,Hoima District,14,3,17,7348,5499,12847,7061,3562,10623,3738,3191,6929,4502,4090,8592,5,3,8,7374,5472,12846,7049,3519,10568,4505,4081,8586,3732,3182,6914,38922,3182,3,3185,3182,5455,8637,6979,3483,10462,3,4065,4068,3714,3170,6884,972,2077,3049,22663,16345,39008,3817,4093,7910,205432,257544,1341,1.022865037,251786.8835,187.7605395,1.6343,31.171
Ankole,Ibanda District,42,35,77,20796,17367,38163,28952,19301,48253,8996,7469,16465,7434,6544,13978,35,30,65,19841,16552,36393,27474,18452,45926,7110,6283,13393,8630,7156,15786,111563,7156,30,7186,7156,16804,23960,27597,18621,46218,30,6366,6396,8720,7426,16146,338,1097,1435,66220,50716,116936,4537,6579,11116,249625,309466,622,1.021721392,302886.8755,486.9563914,0.0966,30.4818
Busoga,Iganga District,36,44,80,41812,26847,68659,67953,32943,100896,22133,17639,39772,30012,27245,57257,34,43,77,40688,25949,66637,65124,31326,96450,29284,26608,55892,21356,16985,38341,257397,16985,43,17028,16985,25314,42299,63161,30468,93629,43,25719,25762,20533,16405,36938,2447,6966,9413,161946,104718,266664,26756,27289,54045,339311,426958,633,1.023242857,417259.6926,659.1780294,0.7236,33.4832
Ankole,Isingiro District,103,75,178,22211,18122,40333,23888,14034,37922,10543,9361,19904,9663,8974,18637,103,75,178,22133,18062,40195,23761,13918,37679,9627,8941,18568,10522,9326,19848,116468,9326,75,9401,9326,17622,26948,23410,13751,37161,75,8633,8708,10040,8758,18798,398,960,1358,66408,50566,116974,5899,9049,14948,486360,635077,2536,1.027038806,618357.3554,243.8317647,0.8435,30.8039
Busoga,Jinja City,151,77,228,11038,7628,18666,26896,15091,41987,6588,5908,12496,8517,8066,16583,88,36,124,8964,6221,15185,16936,8925,25861,6679,6302,12981,5317,4729,10046,64197,4729,33,4762,4729,6001,10730,16233,8671,24904,33,6080,6113,5126,4541,9667,467,1159,1626,53190,36770,89960,7535,8143,15678,247074,279184,179,1.012293266,275793.5959,1540.746346,0.5349,33.2139
