dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+  (B/S &RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
KOBOKO,Koboko,"258,000",258000.0,KOBOKO,KOBOKO,KOBOKO,KOBOKO,KOBOKO,KOBOKO,West Nile,Koboko District,186,74,260,22003,11099,33102,28895,9770,38665,13137,9513,22650,18046,15741,33787,49,47,96,19629,9821,29450,24202,8160,32362,15850,13462,29312,11600,8315,19915,111135,29,29,58,20446,10181,30627,26313,8891,35204,16775,14475,31250,12067,8762,20829,987,2294,3281,82267,46197,128464,18232,15815,34047,206495.0,271781.0,739.0,1.027852876,250280.0463,338.6739463,3.5237,31.0335,444.0425900624424,KOBOKO,0.340184909455745,1.2788413344939786,0.068,1,False,0.8661970399674974,0.069,False,False
KIBUKU,Kibuku,"250,600",250600.0,KIBUKU,KIBUKU,KIBUKU,KIBUKU,KIBUKU,KIBUKU,Bukedi,Kibuku District,11,8,19,17881,8034,25915,25790,6332,32122,15276,11754,27030,20530,17616,38146,6,7,13,17692,7901,25593,25612,6203,31815,20353,17538,37891,15144,11629,26773,122085,6,7,13,17663,7913,25576,25580,6207,31787,20353,17571,37924,15122,11608,26730,804,1693,2497,79488,43744,123232,20541,17624,38165,202033.0,249441.0,484.0,1.021302871,234155.4018,483.7921524,1.0453,33.7993,521.384512428532,KIBUKU,0.1066892318280522,0.43184521364754863,0.258,1,False,0.16543832968767605,0.249,False,False
KWANIA,Kwania,"216,600",216600.0,APAC,APAC,APAC,KWANIA,KWANIA,KWANIA,Lango,Kwania District,30,24,54,11987,5175,17162,14948,6577,21525,5160,3673,8833,6868,5846,12714,28,22,50,11563,5013,16576,14168,6357,20525,6564,5595,12159,5027,3597,8624,57934,28,22,50,11561,5011,16572,13924,6354,20278,6562,5594,12156,5026,3597,8623,599,1126,1725,38993,21295,60288,6898,5870,12768,183304.0,216125.0,1223.0,1.016607493,205705.1132,168.197149,1.9033,32.7633,281.63616887672,KWANIA,-0.009174208447056478,-0.12977532300997,0.384,2,False,0.0508527089096525,0.351,False,False
NABILATUK,Nabilatuk,"89,700",89700.0,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NABILATUK,NABILATUK,NABILATUK,Karamoja,Nabilatuk District,26,9,35,3504,1752,5256,6581,1884,8465,3497,2611,6108,13741,11422,25163,26,9,35,3468,1737,5205,6417,1826,8243,13703,11390,25093,3494,2597,6091,44667,24,8,32,3367,1681,5048,6241,1777,8018,13428,11139,24567,3422,2549,5971,218,658,876,27349,17678,45027,13767,11431,25198,68409.0,136785.0,1561.0,1.071747609,111111.9847,71.18000298,2.091,34.5971,401.999839356663,NABILATUK,0.16713060106937153,1.3681459785769656,0.067,1,False,0.6795034398425799,0.063,False,False
BUGWERI,Bugweri,"191,600",191600.0,IGANGA,IGANGA,IGANGA,BUGWERI,BUGWERI,BUGWERI,Busoga,Bugweri District,11,8,19,11559,6409,17968,19515,8065,27580,7901,6431,14332,11031,10163,21194,11,8,19,11504,6367,17871,19352,7989,27341,10990,10117,21107,7931,6386,14317,80655,11,8,19,11414,6331,17745,19064,7926,26990,10860,9993,20853,7800,6329,14129,844,1490,2334,50017,31076,81093,11042,10171,21213,164886.0,211511.0,302.0,1.025214919,196285.4942,649.9519675,0.6116,33.5952,410.906574266862,BUGWERI,0.02690587793005036,0.1960574686423362,0.341,1,False,0.0988882100457799,0.326,False,False
MADI OKOLLO,Madi Okollo,"164,200",164200.0,ARUA,ARUA,ARUA,ARUA,MADI OKOLLO,MADI-OKOLLO,West Nile,Madi-Okollo District,7,6,13,23269,14584,37853,24377,8173,32550,13141,9941,23082,14773,14247,29020,7,6,13,22805,14503,37308,23787,7558,31345,14533,14034,28567,12948,9880,22828,120061,7,6,13,23147,14534,37681,24349,7627,31976,14661,14051,28712,13044,9879,22923,1016,1750,2766,75567,46951,122518,14780,14253,29033,140188.0,178051.0,2048.0,1.024196666,165727.4103,80.92158706,2.8218,31.2168,724.4486580865857,MADI-OKOLLO,2.468294376537155,4.999537217299352,0.001,1,True,1.8132933276654257,0.001,True,False
KARENGA,Karenga,"68,500",68500.0,KAABONG,KAABONG,KAABONG,KAABONG,KARENGA,KARENGA,Karamoja,Karenga District,5,1,6,4931,2811,7742,7468,3102,10570,2326,1728,4054,5220,5244,10464,5,1,6,4890,2759,7649,7740,3031,10771,5082,5064,10146,2283,1893,4176,32748,5,1,6,4882,2756,7638,7691,3020,10711,5091,5077,10168,2291,1798,4089,252,692,944,19950,12886,32836,5225,5245,10470,51233.0,100375.0,25702.0,1.069565971,82035.68843,3.191801744,3.5691,33.6931,399.1921153674897,KARENGA,0.04369239209937281,0.29555243625274447,0.295,1,False,0.18628842013446226,0.275,False,False
NAMISINDWA,Namisindwa,"231,500",231500.0,MANAFWA,MANAFWA,NAMISINDWA,NAMISINDWA,NAMISINDWA,NAMISINDWA,Bugisu,Namisindwa District,4,1,5,5524,3311,8835,10890,5971,16861,2710,2241,4951,5389,4578,9967,3,0,3,5363,3211,8574,10251,5775,16026,5252,4485,9737,2662,2187,4849,39189,3,0,3,5250,3153,8403,10070,5757,15827,5150,4424,9574,2568,2128,4696,449,1032,1481,24517,16102,40619,5393,4579,9972,204281.0,257346.0,298.0,1.023361195,240121.2459,805.7759931,0.9054,34.3754,163.20505023666462,NAMISINDWA,0.18757233822272323,0.5602738203551826,0.29,3,False,-0.32179167644541,0.269,False,False
BULAMBULI,Bulambuli,"230,600",230600.0,BULAMBULI,BULAMBULI,BULAMBULI,BULAMBULI,BULAMBULI,BULAMBULI,Bugisu,Bulambuli District,4,7,11,4273,2425,6698,8610,4657,13267,2269,1530,3799,2709,2603,5312,4,7,11,4042,2289,6331,8184,4411,12595,2505,2398,4903,2103,1437,3540,27380,4,7,11,4030,2305,6335,8165,4368,12533,2563,2467,5030,2151,1465,3616,394,712,1106,17865,11222,29087,2713,2610,5323,174513.0,235391.0,695.0,1.030377121,215179.668,309.6110331,1.4815,34.2866,127.24250508649357,BULAMBULI,0.2678590580539197,0.8675252726354958,0.165,3,False,-0.3791118013276436,0.159,False,False
NGORA,Ngora,"165,800",165800.0,NGORA,NGORA,NGORA,NGORA,NGORA,NGORA,Teso,Ngora District,63,47,110,15349,7800,23149,20640,8775,29415,6715,4819,11534,7319,6419,13738,63,47,110,15311,7673,22984,20518,8643,29161,7308,6395,13703,6694,4802,11496,77454,63,65,128,15291,7485,22776,20180,8348,28528,7122,6266,13388,6699,4672,11371,1278,2342,3620,50086,27860,77946,7382,6466,13848,141919.0,213777.0,640.0,1.041818448,189053.5546,295.3961791,1.4908,33.7518,409.69343403184024,NGORA,0.07987186722765413,0.688321747973401,0.18,1,False,0.29394112852092313,0.179,False,False
KAPELEBYONG,Kapelebyong,"103,800",103800.0,AMURIA,AMURIA,AMURIA,KAPELEBYONG,KAPELEBYONG,KAPELEBYONG,Teso,Kapelebyong District,11,9,20,10159,4269,14428,12033,4024,16057,3753,2573,6326,2903,2571,5474,11,9,20,10119,4257,14376,12020,4001,16021,2890,2561,5451,3734,2557,6291,42159,11,9,20,10144,4257,14401,12070,4001,16071,2891,2556,5447,3734,2557,6291,638,1133,1771,28859,13446,42305,2914,2580,5494,87580.0,143536.0,1203.0,1.050644012,123763.9238,102.8794047,2.211,33.7518,340.6404605281269,KAPELEBYONG,0.016554075206138812,1.360052155063979,0.073,1,False,0.5300426028081922,0.082,False,False
MOYO,Moyo,"109,500",109500.0,MOYO,MOYO,MOYO,MOYO,MOYO,MOYO,West Nile,Moyo District,22,14,36,21019,15406,36425,17886,7833,25719,14904,9689,24593,13673,13538,27211,21,14,35,20721,15190,35911,16805,7576,24381,13414,13269,26683,13776,9572,23348,110358,21,13,34,20362,14865,35227,16432,10862,27294,13073,12960,26033,11866,9848,21714,300,970,1270,67504,46480,113984,13695,13552,27247,95951.0,109572.0,1072.0,1.013362919,105294.2278,98.22222739,3.636,31.7651,1048.0916409740744,MOYO,8.928140804234248,6.102794022084335,0.001,1,True,3.6557463336355718,0.001,True,False
NTOROKO,Ntoroko,"76,000",76000.0,NTOROKO,NTOROKO,NTOROKO,NTOROKO,NTOROKO,NTOROKO,Tooro,Ntoroko District,0,1,1,1351,920,2271,1669,1122,2791,837,671,1508,923,875,1798,0,0,0,1338,903,2241,1670,1083,2753,920,860,1780,822,667,1489,8263,0,0,0,1345,907,2252,1674,1108,2782,923,870,1793,828,668,1496,65,106,171,4780,3589,8369,923,876,1799,67005.0,114858.0,1236.0,1.055371602,97711.35554,79.05449478,1.0125,30.3897,84.56540137361397,NTOROKO,0.2060566235023738,0.5178878517497252,0.319,3,False,-0.2445531087195299,0.327,False,False
BUNDIBUGYO,Bundibugyo,"263,800",263800.0,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,Tooro,Bundibugyo District,39,25,64,14986,8470,23456,28669,14372,43041,9003,6575,15578,11791,10313,22104,38,137,175,14760,8344,23104,28169,14121,42290,11672,10176,21848,8884,6496,15380,102797,38,25,63,14850,8397,23247,28311,14265,42576,11729,10211,21940,8927,6523,15450,649,1240,1889,64488,39755,104243,11830,10338,22168,224387.0,264778.0,850.0,1.016689692,251951.3187,296.4133162,0.6852,0.0,408.00342117836277,BUNDIBUGYO,-0.1932187732295033,-1.473404431988887,0.02,4,True,-0.7198265054462007,0.019,False,True
KIRYANDONGO,Kiryandongo,"313,800",313800.0,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,Bunyoro,Kiryandongo District,69,15,84,12908,9509,22417,13449,6569,20018,6414,5215,11629,10613,9268,19881,14,12,26,12359,9254,21613,12902,6240,19142,9686,8837,18523,6129,4983,11112,70416,15,12,27,12046,8970,21016,12282,6397,18679,9486,8803,18289,6228,5104,11332,1318,2531,3849,43453,30576,74029,10682,9283,19965,266197.0,364872.0,3582.0,1.032033365,331939.7962,92.66884317,2.018,32.0837,212.13485338640453,KIRYANDONGO,0.0744983850265013,0.41919385027141526,0.37,3,False,-0.18063192297741015,0.359,False,False
MITYANA,Mityana,"362,500",362500.0,MITYANA,MITYANA,MITYANA,MITYANA,MITYANA,MITYANA,North Central,Mityana District,43,39,82,28324,12127,40451,25097,16601,41698,7404,6778,14182,8431,10480,18911,35,35,70,13102,10863,23965,23344,15351,38695,7770,7549,15319,6903,6329,13232,91281,35,39,74,13655,11306,24961,24247,16044,40291,7992,7817,15809,7145,6658,13803,410,1275,1685,69299,46025,115324,8474,10519,18993,328964.0,407386.0,1525.0,1.021611499,382075.1412,250.5410762,0.4016,32.044,238.90850295392104,MITYANA,0.06431220245387506,0.556176504370724,0.302,3,False,-0.19980813221331853,0.285,False,False
KYOTERA,Kyotera,"261,000",261000.0,RAKAI,RAKAI,KYOTERA,KYOTERA,KYOTERA,KYOTERA,South Central,Kyotera District,12,8,20,13021,11211,24232,18309,11113,29422,6828,6342,13170,6042,5938,11980,12,8,20,13021,11211,24232,18309,11113,29422,6042,5938,11980,6828,6342,13170,78824,12,8,20,13021,11211,24232,18309,11113,29422,6042,5938,11980,6828,6342,13170,228,658,886,44212,34612,78824,6054,5946,12000,239563.0,275917.0,1723.0,1.014228644,264466.6076,153.4919371,0.6359,31.5456,298.0489700205161,KYOTERA,0.07421832784012843,1.4478818744822017,0.021,3,True,-0.6283139013571538,0.031,False,True
GOMBA,Gomba,"173,800",173800.0,GOMBA,GOMBA,GOMBA,GOMBA,GOMBA,GOMBA,South Central,Gomba District,3,0,3,5003,4084,9087,7448,5610,13058,2571,2212,4783,2156,2012,4168,3,0,3,4543,3731,8274,6646,4989,11635,1951,1831,3782,2294,1967,4261,27955,3,0,3,4998,4082,9080,7421,5592,13013,2153,120894,123047,2571,2212,4783,141,460,601,17181,13918,31099,2159,2012,4171,159922.0,19912.0,1670.0,0.811933886,37200.85164,22.27595906,0.223,31.6739,751.4612910082292,GOMBA,-0.6982184105054831,-1.2918573931521635,0.051,4,False,-0.4666846513174132,0.051,False,False
RAKAI,Rakai,"317,700",317700.0,RAKAI,RAKAI,RAKAI,RAKAI,RAKAI,RAKAI,South Central,Rakai District,4,4,8,17074,13252,30326,19333,10758,30091,8139,7118,15257,6129,6015,12144,4,4,8,17043,13218,30261,19317,11773,31090,6122,6003,12125,8119,7108,15227,88711,3,4,7,16843,13100,29943,19110,10681,29791,6091,5936,12027,8022,7045,15067,313,830,1143,50679,37147,87826,6133,6019,12152,276746.0,346885.0,1528.0,1.02284639,324156.1533,212.1440794,0.7083,31.3542,273.66748740351613,RAKAI,0.1234417047611146,1.2550384991411352,0.049,3,True,-0.6070136405758565,0.05,False,False
BUSHENYI,Bushenyi,"248,300",248300.0,BUSHENYI,BUSHENYI,BUSHENYI,BUSHENYI,BUSHENYI,BUSHENYI,Ankole,Bushenyi District,1,1,2,3785,3700,7485,5362,3778,9140,1426,1281,2707,1066,1021,2087,1,1,2,3688,3640,7328,5060,3481,8541,1037,996,2033,1396,1251,2647,20551,1,1,2,3648,3600,7248,4983,3408,8391,1025,988,2013,1374,1232,2606,59,172,231,11640,9781,21421,1067,1022,2089,234443.0,283392.0,845.0,1.019142779,267721.0326,316.8296243,0.4875,30.1127,76.76273993274596,BUSHENYI,0.7906680923350388,2.054121543921085,0.002,3,True,-0.8925011393814212,0.001,False,True
ISINGIRO,Isingiro,"596,400",596400.0,ISINGIRO,ISINGIRO,ISINGIRO,ISINGIRO,ISINGIRO,ISINGIRO,Ankole,Isingiro District,9,2,11,19619,14886,34505,34204,21570,55774,11465,9073,20538,14141,13268,27409,9,2,11,19114,14588,33702,32199,20127,52326,13495,12525,26020,11195,8829,20024,132083,9,2,11,18441,14082,32523,32444,20951,53395,13569,12760,26329,10880,8586,19466,445,1189,1634,79438,58799,138237,14150,13270,27420,486360.0,635077.0,2536.0,1.027038806,586227.0097,231.1620701,0.8435,30.8039,225.31032827640112,ISINGIRO,0.28436540192988324,1.760574047637054,0.008,3,True,-0.7641508714011639,0.004,False,True
RWAMPARA,Rwampara,"144,600",144600.0,MBARARA,MBARARA,MBARARA,MBARARA,RWAMPARA,RWAMPARA,Ankole,Rwampara District,2,0,2,467,393,860,1642,936,2578,170,135,305,183,166,349,2,0,2,454,385,839,1595,920,2515,181,161,342,169,132,301,3999,2,0,2,449,382,831,1551,903,2454,181,171,352,164,130,294,6,16,22,2464,1630,4094,185,166,351,127725.0,162967.0,542.0,1.024666118,151479.0396,279.4816229,0.7476,30.482,26.3996920667036,RWAMPARA,0.9042143496229226,1.7568791882052408,0.004,3,True,-0.855052245187772,0.002,False,True
HOIMA,Hoima,"374,500",374500.0,HOIMA,HOIMA,HOIMA,HOIMA,HOIMA,HOIMA,Bunyoro,Hoima District,1,2,3,3911,2239,6150,4951,2509,7460,2137,1568,3705,3153,2849,6002,1,1,2,3845,2205,6050,4854,2396,7250,3098,2795,5893,2109,1542,3651,22846,4,5,9,3857,2183,6040,4808,2381,7189,3093,2773,5866,2067,1528,3595,696,1207,1903,14153,9167,23320,3154,2851,6005,205432.0,257544.0,1341.0,1.022865037,240655.8559,179.459997,1.6343,31.171,94.93224220354406,HOIMA,0.20849042496522124,0.5561097048685146,0.302,3,False,-0.25758207353572343,0.311,False,False
KALAKI,Kalaki,"138,700",138700.0,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KALAKI,KALAKI,Teso,Kalaki District,28,30,58,9893,4410,14303,9176,3183,12359,6027,4868,10895,6082,5911,11993,28,30,58,9893,4410,14303,9176,3183,12359,6082,5911,11993,6027,4868,10895,49608,28,30,58,9655,4269,13924,8990,3150,12140,5969,5789,11758,5845,4724,10569,563,1301,1864,31206,18402,49608,6110,5941,12051,109874.0,149736.0,658.0,1.031438004,136457.3207,207.3819463,0.0,0.0,363.5422397678661,KALAKI,0.0326176857231981,0.7167671819404,0.163,1,False,0.29297271672048775,0.184,False,False
OBONGI,Obongi,"49,100",49100.0,MOYO,MOYO,MOYO,MOYO,OBONGI,OBONGI,West Nile,Obongi District,15,8,23,21368,13182,34550,17002,5982,22984,11246,9380,20626,20761,13519,34280,7,4,11,18535,12699,31234,15107,5199,20306,12694,12212,24906,10468,9309,19777,96234,22,21,43,18097,12182,30279,14404,5055,19459,12493,11915,24408,10422,9198,19620,459,963,1422,70392,42071,112463,20776,13527,34303,43061.0,142983.0,837.0,1.127509032,99752.62129,119.178759,3.4335,31.5827,964.7265280400934,OBONGI,6.845542602792297,6.2701192133303625,0.001,1,True,3.1553735580792344,0.001,True,False
KAZO,Kazo,"217,600",217600.0,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,KAZO,KAZO,Ankole,Kazo District,49,38,87,10388,7994,18382,13221,7927,21148,4858,4032,8890,3095,2785,5880,38,28,66,9915,7719,17634,12137,7513,19650,2911,2635,5546,4630,3856,8486,51382,32,23,55,9545,7394,16939,11762,7281,19043,2783,2522,5305,4446,3700,8146,147,721,868,31611,22776,54387,3144,2823,5967,177054.0,208898.0,1558.0,1.016676661,198785.9659,127.5904787,0.3576,32.5571,258.4790116715176,KAZO,0.059522972264399246,0.5312463979900948,0.32,3,False,-0.2333672820016839,0.297,False,False
ARUA,Terego,"233,700",233700.0,ARUA,ARUA,ARUA,ARUA,TEREGO,TEREGO,West Nile,Terego District,93,64,157,47352,25849,73201,51349,17065,68414,23018,17658,40676,28048,27036,55084,74,50,124,38072,23177,61249,39585,13947,53532,24019,23117,47136,20892,15895,36787,198828,128,90,218,39931,23794,63725,41430,14238,55668,25103,23180,48283,21276,16235,37511,1606,4591,6197,149860,87672,237532,28141,27100,55241,199303.0,323253.0,1200.0,1.049549371,279597.9261,232.9982717,3.171,31.1252,711.121154485559,TEREGO,-0.5202910922640289,-0.4025392647462336,0.393,4,False,-0.3832850745787805,0.4,False,False
ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA,ARUA,West Nile,Arua District,2,7,9,7842,4172,12014,7076,3080,10156,3554,2712,6266,2964,2858,5822,2,7,9,7709,4074,11783,6838,2988,9826,2900,2751,5651,3466,2640,6106,33375,2,7,9,7766,4139,11905,6963,3042,10005,2949,2825,5774,9424,2669,12093,337,548,885,21438,12829,34267,2966,2865,5831,133534.0,159722.0,800.0,1.018069175,151367.5827,189.2094783,3.0018,30.9876,220.48974691065075,ARUA,-0.520291092264029,-1.634797703123759,0.047,2,True,1.3298738040663427,0.06,False,False
